Row,Burstiness Ratio,Average Gap,Run Lengths
1230,0.0,25.5,"[1, 1, 1]"
1231,0.0,25.5,"[1, 1, 1]"
1232,0.0,25.5,"[1, 1, 1]"
1233,0.0,19.0,"[1, 1]"
1234,0.0,51.0,"[1, 1]"
1235,0.0,51.0,"[1, 1]"
1236,0.5,25.5,"[3, 1]"
1237,0.0,11.666666666666666,"[1, 1, 1, 1, 1, 1, 1]"
1238,0.3333333333333333,5.166666666666667,"[3, 3, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1239,1.0,2.0,[3]
1240,0.0,17.0,"[1, 1, 1, 1]"
1241,0.2857142857142857,6.642857142857143,"[1, 2, 1, 1, 3, 2, 1, 1, 1, 3, 1]"
1242,0.0,25.5,"[1, 1, 1]"
1243,0.0,25.5,"[1, 1, 1]"
1244,0.0,25.5,"[1, 1, 1]"
1245,0.3333333333333333,17.0,"[3, 1, 1]"
1246,0.0,27.0,"[1, 1, 1]"
1247,0.3333333333333333,18.0,"[3, 1, 1]"
1248,0.0,21.0,"[1, 1]"
1249,0.5,10.5,"[3, 1]"
1250,0.5,10.5,"[3, 1]"
1251,0.3333333333333333,17.0,"[3, 1, 1]"
1252,0.3333333333333333,17.0,"[3, 1, 1]"
1253,0.3333333333333333,17.0,"[3, 1, 1]"
1254,0.0,0.0,[1]
1255,0.0,0.0,[1]
1271,0.0,0.0,[1]
1272,0.0,0.0,[1]
1273,0.0,0.0,[1]
1274,0.0,3.0,"[1, 1]"
1275,0.25,6.375,"[1, 3, 1, 1, 1, 1, 2]"
1276,0.36363636363636365,4.2272727272727275,"[1, 1, 1, 3, 3, 1, 2, 1, 1, 1, 3, 1, 2, 3, 1]"
1277,0.0,3.0,"[1, 1]"
1292,0.0,0.0,[1]
1293,0.0,0.0,[1]
1295,0.7619047619047619,2.238095238095238,"[3, 2, 11, 11, 3, 5, 4, 2, 1, 3, 10]"
1296,0.6976744186046512,2.2093023255813953,"[5, 11, 1, 1, 5, 1, 3, 5, 1, 1, 3, 2, 12, 5]"
1303,0.0,18.75,"[1, 1, 1, 1, 1]"
1304,0.0,33.0,"[1, 1]"
1305,0.0,0.0,[1]
