Threshold,TPR,FPR,ACC,Precision,Recall,F1-score
192,0.099999999999994,,,0.0,0.099999999999994,0.0
193,0.099999999999994,,,0.0,0.099999999999994,0.0
194,0.099999999999994,,,0.0,0.099999999999994,0.0
195,0.099999999999994,,,0.0,0.099999999999994,0.0
196,0.099999999999994,,,0.0,0.099999999999994,0.0
197,0.099999999999994,,,0.0,0.099999999999994,0.0
198,0.099999999999994,,,0.0,0.099999999999994,0.0
199,0.099999999999994,,,0.0,0.099999999999994,0.0
200,0.099999999999994,,,0.0,0.099999999999994,0.0
201,0.099999999999994,,,0.0,0.099999999999994,0.0
202,0.099999999999994,,,0.0,0.099999999999994,0.0
203,0.099999999999994,,,0.0,0.099999999999994,0.0
204,0.099999999999994,,,0.0,0.099999999999994,0.0
205,0.099999999999994,,,0.0,0.099999999999994,0.0
206,0.099999999999994,,,0.0,0.099999999999994,0.0
207,0.099999999999994,,,0.0,0.099999999999994,0.0
208,0.099999999999994,,,0.0,0.099999999999994,0.0
209,0.099999999999994,,,0.0,0.099999999999994,0.0
210,0.099999999999994,,,0.0,0.099999999999994,0.0
211,0.099999999999994,,,0.0,0.099999999999994,0.0
212,0.099999999999994,,,0.0,0.099999999999994,0.0
213,0.099999999999994,,,0.0,0.099999999999994,0.0
214,0.099999999999994,,,0.0,0.099999999999994,0.0
215,0.099999999999994,,,0.0,0.099999999999994,0.0
216,0.099999999999994,,,0.0,0.099999999999994,0.0
217,0.099999999999994,,,0.0,0.099999999999994,0.0
218,0.099999999999994,,,0.0,0.099999999999994,0.0
219,0.099999999999994,,,0.0,0.099999999999994,0.0
220,0.099999999999994,,,0.0,0.099999999999994,0.0
221,0.099999999999994,,,0.0,0.099999999999994,0.0
222,0.099999999999994,,,0.0,0.099999999999994,0.0
223,0.099999999999994,,,0.0,0.099999999999994,0.0
224,0.099999999999994,,,0.0,0.099999999999994,0.0
225,0.099999999999994,,,0.0,0.099999999999994,0.0
226,0.099999999999994,,,0.0,0.099999999999994,0.0
227,0.099999999999994,,,0.0,0.099999999999994,0.0
228,0.099999999999994,,,0.0,0.099999999999994,0.0
229,0.099999999999994,,,0.0,0.099999999999994,0.0
230,0.099999999999994,,,0.0,0.099999999999994,0.0
231,0.099999999999994,,,0.0,0.099999999999994,0.0
232,0.099999999999994,,,0.0,0.099999999999994,0.0
233,0.099999999999994,,,0.0,0.099999999999994,0.0
234,0.099999999999994,,,0.0,0.099999999999994,0.0
235,0.099999999999994,,,0.0,0.099999999999994,0.0
236,0.099999999999994,,,0.0,0.099999999999994,0.0
237,0.099999999999994,,,0.0,0.099999999999994,0.0
238,0.099999999999994,,,0.0,0.099999999999994,0.0
239,0.099999999999994,,,0.0,0.099999999999994,0.0
240,0.099999999999994,,,0.0,0.099999999999994,0.0
241,0.099999999999994,,,0.0,0.099999999999994,0.0
242,0.099999999999994,,,0.0,0.099999999999994,0.0
243,0.099999999999994,,,0.0,0.099999999999994,0.0
244,0.099999999999994,,,0.0,0.099999999999994,0.0
245,0.099999999999994,,,0.0,0.099999999999994,0.0
246,0.099999999999994,,,0.0,0.099999999999994,0.0
247,0.099999999999994,,,0.0,0.099999999999994,0.0
248,0.099999999999994,,,0.0,0.099999999999994,0.0
249,0.099999999999994,,,0.0,0.099999999999994,0.0
250,0.099999999999994,,,0.0,0.099999999999994,0.0
251,0.099999999999994,,,0.0,0.099999999999994,0.0
252,0.099999999999994,,,0.0,0.099999999999994,0.0
253,0.099999999999994,,,0.0,0.099999999999994,0.0
254,0.099999999999994,,,0.0,0.099999999999994,0.0
255,0.099999999999994,,,0.0,0.099999999999994,0.0
256,0.099999999999994,,,0.0,0.099999999999994,0.0
